time_stamp,d_id,temp
2019-05-18 18:55:47,6094304,285
2019-05-18 18:56:30,6094304,285
2019-05-18 18:57:17,6094304,284
2019-05-18 18:57:36,6094304,285
2019-05-18 18:59:49,6094304,284
2019-05-18 19:00:35,6094304,285
2019-05-18 19:01:27,6094304,284
2019-05-18 19:01:38,6094304,285
2019-05-18 19:03:08,6094304,285
2019-05-18 19:08:08,6094304,285
2019-05-18 19:10:38,6094304,323
2019-05-18 19:15:38,6094304,326
2019-05-18 19:18:55,6094304,334
2019-05-18 19:23:55,6094304,334
2019-05-18 19:28:55,6094304,335
2019-05-18 19:32:52,6094304,325
2019-05-18 19:33:21,6094304,314
2019-05-18 19:35:31,6094304,295
2019-05-18 19:36:10,6094304,308
2019-05-18 19:38:45,6094304,326
2019-05-18 19:41:00,6094304,320
2019-05-18 19:42:58,6094304,343
2019-05-18 19:43:20,6094304,344
2019-05-18 19:43:23,6094304,345
2019-05-18 19:43:25,6094304,345
2019-05-18 19:43:26,6094304,346
2019-05-18 19:43:26,6094304,346
2019-05-18 19:43:27,6094304,346
2019-05-18 19:43:28,6094304,345
2019-05-18 19:43:56,6094304,319
2019-05-18 19:44:37,6094304,301
2019-05-18 19:47:14,6094304,320
2019-05-18 19:52:14,6094304,336
2019-05-18 19:54:00,6094304,333
2019-05-18 19:57:24,6094304,325
2019-05-18 20:02:24,6094304,334
2019-05-18 20:02:43,6094304,338
2019-05-18 20:02:51,6094304,323
2019-05-18 20:04:56,6094304,287
2019-05-18 20:06:25,6094304,313
2019-05-18 20:06:52,6094304,310
2019-05-18 20:07:19,6094304,308
2019-05-18 20:07:27,6094304,304
2019-05-18 20:07:54,6094304,331
2019-05-18 20:07:58,6094304,351
2019-05-18 20:08:15,6094304,354
2019-05-18 20:08:21,6094304,350
2019-05-18 20:08:23,6094304,348
2019-05-18 20:08:40,6094304,320
2019-05-18 20:08:54,6094304,301
2019-05-18 20:12:01,6094304,277
2019-05-18 20:12:41,6094304,276
2019-05-18 20:15:43,6094304,287
2019-05-18 20:16:58,6094304,116
2019-05-18 20:16:59,6094304,116
2019-05-18 20:17:00,6094304,118
2019-05-18 20:17:00,6094304,118
2019-05-18 20:17:37,6094304,99
2019-05-18 20:18:35,6094304,59
2019-05-18 20:21:29,6094304,20
2019-05-18 20:22:00,6094304,19
2019-05-18 20:24:53,6094304,12
2019-05-18 20:25:44,6094304,11
2019-05-18 20:29:56,6094304,10
2019-05-18 20:34:56,6094304,5
2019-05-18 20:35:25,6094304,4
2019-05-18 20:40:25,6094304,4
2019-05-18 20:45:25,6094304,4
2019-05-18 20:48:14,6094304,5
2019-05-18 20:53:14,6094304,4
2019-05-18 20:58:14,6094304,4
2019-05-18 21:02:12,6094304,5
2019-05-18 21:04:06,6094304,5
2019-05-18 21:05:38,6094304,6
2019-05-18 21:05:57,6094304,5
2019-05-18 21:10:57,6094304,4
2019-05-18 21:15:57,6094304,3
2019-05-18 21:20:57,6094304,3
2019-05-18 21:25:57,6094304,3
2019-05-18 21:30:57,6094304,4
2019-05-18 21:35:57,6094304,3
2019-05-18 21:40:57,6094304,4
2019-05-18 21:45:57,6094304,4
2019-05-18 21:50:58,6094304,4
2019-05-18 21:55:58,6094304,3
2019-05-18 22:00:58,6094304,4
2019-05-18 22:05:58,6094304,3
2019-05-18 22:10:58,6094304,3
2019-05-18 22:15:58,6094304,4
2019-05-18 22:20:58,6094304,294
2019-05-18 22:21:53,6094304,273
2019-05-18 22:26:53,6094304,274
2019-05-18 22:31:53,6094304,278
2019-05-18 23:14:44,6094304,273
2019-05-18 23:15:12,6094304,275
2019-05-19 02:49:35,6094304,274
2019-05-19 02:54:35,6094304,270
2019-05-19 02:59:35,6094304,271
2019-05-19 03:03:27,6094304,273
2019-05-19 03:08:27,6094304,279
2019-05-19 03:11:31,6094304,277
2019-05-19 03:16:16,6094304,276
2019-05-19 03:21:16,6094304,275
2019-05-19 03:26:16,6094304,274
2019-05-19 03:31:16,6094304,262
2019-05-19 03:36:16,6094304,273
2019-05-19 03:41:16,6094304,276
2019-05-19 03:46:16,6094304,274
2019-05-19 03:51:16,6094304,276
2019-05-19 03:56:16,6094304,276
2019-05-19 04:01:16,6094304,277
2019-05-19 04:06:16,6094304,277
2019-05-19 04:11:16,6094304,277
2019-05-19 04:16:16,6094304,277
2019-05-19 04:17:32,6094304,277
2019-05-19 04:22:32,6094304,278
2019-05-19 04:27:32,6094304,278
2019-05-19 04:32:32,6094304,278
2019-05-19 04:37:32,6094304,278
2019-05-19 04:42:32,6094304,277
2019-05-19 04:47:32,6094304,279
2019-05-19 04:52:32,6094304,280
2019-05-19 04:57:32,6094304,280
2019-05-19 05:02:32,6094304,279
2019-05-19 05:07:32,6094304,278
2019-05-19 05:12:32,6094304,278
2019-05-19 05:17:32,6094304,278
2019-05-19 05:22:32,6094304,278
2019-05-19 05:27:32,6094304,278
2019-05-19 05:32:32,6094304,277
2019-05-19 05:37:32,6094304,277
2019-05-19 05:42:32,6094304,278
2019-05-19 05:45:18,6094304,278
2019-05-19 05:50:18,6094304,278
2019-05-19 05:55:18,6094304,279
2019-05-19 06:00:18,6094304,279
2019-05-19 06:05:18,6094304,282
2019-05-19 06:10:18,6094304,281
2019-05-19 06:15:18,6094304,282
2019-05-19 06:20:18,6094304,282
2019-05-19 06:25:18,6094304,282
2019-05-19 06:30:18,6094304,282
2019-05-19 06:38:03,6094304,282
